Type,Generations Taken
Crossover,14.733334
None,28.066668
Crossover,14.733334
None,28.066668
Crossover,14.733334
None,28.066668
Crossover,14.733334
None,28.066668
Crossover,14.733334
None,28.066668
Crossover,14.733334
None,28.066668
Crossover,14.733334
None,28.066668
Crossover,14.733334
None,28.066668
Crossover,17.200001
None,28.133333
Crossover,17.200001
None,28.133333
Crossover,17.200001
None,28.133333
Crossover,17.200001
None,28.133333
Crossover,17.200001
None,28.133333
Crossover,17.200001
None,28.133333
Crossover,17.200001
None,28.133333
Crossover,17.200001
None,28.133333
Crossover,17.200001
None,28.133333
Crossover,17.200001
None,28.133333
Crossover,17.200001
None,28.133333
Crossover,17.200001
None,28.133333
Crossover,17.200001
None,28.133333
Crossover,17.200001
None,28.133333
Crossover,17.200001
None,28.133333
Crossover,17.200001
None,28.133333
Crossover,17.200001
None,28.133333
Crossover,17.200001
None,28.133333
Crossover,17.200001
None,28.133333
Crossover,17.200001
None,28.133333
Crossover,17.200001
None,28.133333
Crossover,17.200001
None,28.133333
Crossover,17.200001
None,28.133333
Crossover,17.200001
None,28.133333
Crossover,17.200001
None,28.133333
Crossover,17.200001
None,28.133333
Crossover,15.533334
None,30.000000
Crossover,15.533334
None,30.000000
Crossover,15.533334
None,30.000000
Crossover,15.533334
None,30.000000
Crossover,15.533334
None,30.000000
Crossover,15.533334
None,30.000000
Crossover,15.533334
None,30.000000
Crossover,15.533334
None,30.000000
Crossover,15.533334
None,30.000000
Crossover,15.533334
None,30.000000
Crossover,15.533334
None,30.000000
Crossover,15.533334
None,30.000000
Crossover,15.533334
None,30.000000
Crossover,15.533334
None,30.000000
Crossover,15.533334
None,30.000000
Crossover,15.533334
None,30.000000
Crossover,15.533334
None,30.000000
Crossover,15.533334
None,30.000000
Crossover,15.533334
None,30.000000
Crossover,15.533334
None,30.000000
Crossover,15.533334
None,30.000000
Crossover,15.533334
None,30.000000
Crossover,15.533334
None,30.000000
Crossover,15.533334
None,30.000000
Crossover,15.533334
None,30.000000
Crossover,15.533334
None,30.000000
Crossover,15.533334
None,30.000000
Crossover,16.033333
None,30.000000
Crossover,16.033333
None,30.000000
Crossover,16.033333
None,30.000000
Crossover,16.033333
None,30.000000
Crossover,16.033333
None,30.000000
Crossover,16.033333
None,30.000000
Crossover,16.033333
None,30.000000
Crossover,16.033333
None,30.000000
Crossover,16.033333
None,30.000000
Crossover,16.033333
None,30.000000
Crossover,16.033333
None,30.000000
Crossover,16.033333
None,30.000000
Crossover,16.033333
None,30.000000
Crossover,16.033333
None,30.000000
Crossover,16.033333
None,30.000000
Crossover,16.033333
None,30.000000
Crossover,16.033333
None,30.000000
Crossover,16.033333
None,30.000000
Crossover,16.033333
None,30.000000
Crossover,16.033333
None,30.000000
Crossover,16.033333
None,30.000000
Crossover,16.033333
None,30.000000
Crossover,16.033333
None,30.000000
Crossover,16.033333
None,30.000000
Crossover,16.033333
None,30.000000
Crossover,16.033333
None,30.000000
Crossover,14.666667
None,28.066668
Crossover,14.666667
None,28.066668
Crossover,14.666667
None,28.066668
Crossover,14.666667
None,28.066668
Crossover,14.666667
None,28.066668
Crossover,14.666667
None,28.066668
Crossover,14.666667
None,28.066668
Crossover,14.666667
None,28.066668
Crossover,14.666667
None,28.066668
Crossover,14.666667
None,28.066668
Crossover,14.666667
None,28.066668
Crossover,14.666667
None,28.066668
Crossover,14.666667
None,28.066668
